able	0.125
unable	-0.75
dissilient	0.25
parturient	0.25
uncut	0.5
absolute	0.5
direct	0.75
infinite	0.125
living	0.375
relative	-0.25
sorbefacient	0.375
assimilatory	-0.75
receptive	-0.125
nonabsorptive	-0.5
resistant	-0.5
chemosorptive	-0.25
nonadsorptive	-0.25
absorbable	0.5
adsorbate	0.25
abstinent	-0.625
spartan	0.25
crapulous	-0.5
swinish	-0.125
too-greedy	-0.25
notional	0.375
conceptual	0.125
concrete	0.375
abundant	-0.25
galore	-0.25
rich	0.125
easy	-0.375
riotous	-0.25
thick	-0.5
long	-0.25
rife	-0.375
plentiful	-0.25
rank	-0.25
superabundant	-0.375
torrential	-0.375
verdant	-0.375
scarce	-0.25
rare	-0.875
tight	-0.625
mistreated	-0.625
battered	-0.75
unabused	0.125
acceptable	0.625
bankable	0.25
unimpeachable	-0.375
unobjectionable	-0.5
unacceptable	-0.25
objectionable	-0.375
accessible	0.625
reachable	0.375
getatable	0.625
unaccessible	0.375
remote	0.125
untrodden	-0.125
ungetatable	-0.625
accommodative	0.5
obliging	0.75
uncooperative	-0.125
accurate	0.5
faithful	0.625
dead-on	0.375
high-fidelity	0.375
surgical	0.5
true	0.125
veracious	0.875
inaccurate	-0.5
wrong	-0.625
unfaithful	-0.5
wide_of_the_mark	-0.625
accustomed	0.125
wont_to	-0.375
unaccustomed	-0.75
new	-0.125
unused	-0.125
acidic	-0.125
acid	-0.375
acid-forming	-0.5
alkalescent	-0.25
basic	0.25
saltlike	0.125
amphoteric	0.5
acid-loving	-0.25
alkaline-loving	-0.25
acknowledged	0.125
recognized	0.5
self-confessed	-0.125
assumptive	0.25
declarable	0.375
putative	0.125
unacknowledged	-0.625
unvalued	-0.375
unavowed	0.25
unconfessed	-0.375
unrecognized	-0.5
accumulative	0.375
voracious	-0.25
sordid	-0.5
unacquisitive	-0.5
active	0.375
gymnastic	0.375
hot	0.5
overactive	0.25
on_the_go	0.125
sporty	0.25
inactive	-0.125
deskbound	0.125
dormant	-0.125
underactive	-0.625
torpid	0.125
sedentary	0.125
activated	-0.125
inactive	-0.375
off	-0.625
retired	-0.625
brisk	0.125
bustling	0.5
busy	0.125
going	-0.5
springy	-0.25
inactive	0.25
dead	0.25
sluggish	-0.5
unused	-0.5
active	-0.125
progressive	-0.25
inactive	-0.375
latent	-0.125
quiescent	-0.625
active	0.125
passive	0.125
hands-off	-0.625
unresisting	-0.75
active	-0.5
eruptive	-0.375
quiescent	-0.25
dead	-0.375
active	-0.5
live	0.5
active	0.25
activated	0.125
counteractive	-0.5
inactive	-0.625
quiescent	-0.5
active	0.375
quiet	-0.5
existent	-0.375
effective	0.5
potential	-0.25
latent	-0.625
acute	-0.5
chronic	-0.375
degenerative	-0.375
virulent	0.5
highly_infective	-0.25
deadly	-0.125
avirulent	-0.875
adaptive	0.25
reconciling	0.5
adjustive	0.5
maladaptive	0.125
maladjustive	0.125
unaddicted	-0.125
clean	0.5
habit-forming	-0.625
nonaddictive	-0.25
additive	-0.375
addible	0.5
subtractive	0.25
ablative	0.625
reductive	-0.625
addressed	0.125
unaddressed	-0.125
up_to	0.125
competent	0.25
unequal	-0.5
wanting	-0.625
unequal_to	-0.25
understaffed	-0.75
adhesive	-0.25
bondable	0.25
cohesive	-0.5
gummy	-0.25
self-sealing	-0.5
stick-on	-0.5
nonadhesive	-0.75
nonviscid	-0.625
nonresiny	-0.5
ungummed	-0.75
substantive	0.125
adoptable	0.75
decorated	0.375
spangly	-0.375
bedaubed	-0.5
spectacled	-0.25
buttony	-0.125
plumed	-0.25
